"year","combinedStatus","fullName","sortName","primaryNationality","secondaryNationality","tertiaryNationality","gender","photoUrl","photoCredit","type","lastStatus","typeOfDeath","status","employedAs","organizations","jobs","coverage","mediums","country","location","region","state","locality","province","localOrForeign","sourcesOfFire","motiveConfirmed","accountabilityCrossfire","accountabilityAssignment","impunityMurder","tortured","captive","threatened","charges","motive","lengthOfSentence","healthProblems","impCountry","entry","sentenceDate","sentence","locationImprisoned"
"2023","Missing","Maisloon al-Jawady",,,,,"Female",,,"Journalist","Missing","N/A","Missing","Staff","Al-Mosuliya TV","Broadcast Reporter",,,"Iraq","Mosul",,,"Mosul",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Maksim Shabalin",,"Russia",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Nevskoye Vremya","Editor",,,"Russia","Chechnya",,,"Chechnya",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Manasse Mugabo",,"Rwanda",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","United Nations Assistance Mission in Rwanda Radio",,,,"Rwanda","Rwanda",,,"Rwanda",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Manuel Gabriel Fonseca Hernández",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","El Mañanero",,,,"Mexico","Acayucán",,,"Acayucán",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Marco Antonio López Ortiz",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Novedades Acapulco","Editor",,"Print","Mexico","Acapulco",,,"Acapulco",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","María Esther Aguilar Cansimbe",,"Mexico",,,"Female",,,"Journalist","Missing","N/A","Missing","Staff","El Diario de Zamora,Cambio de Michoacán","Print Reporter","Crime,Corruption",,"Mexico","Zamora",,,"Zamora",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Miguel Angel Domínguez Zamora",,,,,,,,"Journalist","Missing","N/A","Missing","Staff","El Mañana",,,,"Mexico","Reynosa",,,"Reynosa",,,,,,,,,,,,,,,,,,,
"2023","Missing","Miguel Morales Estrada",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Diario de Poza Rica,Tribuna Papanteca","Photographer","Crime",,"Mexico","Poza Rica",,,"Poza Rica",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Mohamed al-Saeed",,,,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Syrian State TV","Broadcast Reporter",,,"Syria","Damascus",,,"Damascus",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Mohamed Hassaine",,"Algeria",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Alger Républicain","Print Reporter",,"Print","Algeria","Algiers",,,"Algiers",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Mohammed Galal Okasha",,"Egypt",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Al Barqa TV",,,,"Libya","eastern Libya",,,"eastern Libya",,"Foreign",,,,,,,,,,,,,,,,,
"2023","Missing","Muayad Saloum",,"Syria",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Moayad_saloum_missing.jpg_f8d3fa94-8c7d-46ee-badf-183de20eb6d3.jpeg","Orient TV","Journalist","Missing","N/A","Missing","Staff","Orient TV","Broadcast Reporter","War","Television","Syria","Aleppo",,,"Aleppo",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Muhannad al-Okaidi",,"Iraq",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/okaidi_missing.jpg_fe528dbb-2f6c-4ad4-ae4e-359779b013cb.jpeg","Alaa al-Okaidi","Journalist","Missing","N/A","Missing","Staff","Al-Mosuliya TV",,,"Television","Iraq","Mosul",,,"Mosul",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Nadhir Guetari",,"Tunisia",,,,,,"Journalist","Missing","N/A","Missing","Staff","First TV",,,,"Libya","Ajdabiya",,,"Ajdabiya",,"Foreign",,,,,,,,,,,,,,,,,
"2023","Missing","Omar Younis al-Ghaafiqi",,,,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/omaryounisghaafiqi.jpg_e61c1552-5dbf-4872-a53b-5acfad3a3212.jpeg","Credit withheld","Journalist","Missing","N/A","Missing","Staff","Sama Mosul","Technician,Camera Operator","Politics","Television","Iraq","Mosul",,,"Mosul",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Pedro Argüello",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","El Mañana,La Tarde","Print Reporter",,,"Mexico","Reynosa",,,"Reynosa",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Prageeth Eknelygoda",,"Sri Lanka",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Lanka eNews","Columnist/Commentator",,,"Sri Lanka","Colombo",,,"Colombo",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Qais Talal",,"Iraq",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/Qais-Talal.jpg_fdf26131-1fae-456a-9e2c-d50c4fccc8e0.jpeg","Balqees Talal","Journalist","Missing","N/A","Missing","Staff","Sama Mosul","Broadcast Reporter","Culture,Politics","Television","Iraq","Mosul",,,"Mosul",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Rafael Ortiz Martínez",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Zócalo,XHCCG",,,,"Mexico","Monclava",,,"Monclava",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Ramón Ángeles Zalpa",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Cambio de Michoacán","Print Reporter",,,"Mexico","Paracho",,,"Paracho",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Reda Helal",,"Egypt",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Al-Ahram","Editor",,,"Egypt","Cairo",,,"Cairo",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Salvador Adame Pardo",,"Mexico",,,"Male",,,"Journalist","Killed","N/A","Missing",,"6TV",,,,"Mexico","Michoacán",,,"Michoacán",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Samir Kassab",,"Lebanon",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/samir_kassab.jpg_6c01124d-fa0d-4653-b477-b3a12f9a4f6f.jpeg","Ramzan Hamdan","Journalist","Missing","N/A","Missing","Staff","Sky News Arabia","Photographer,Camera Operator","War","Television","Syria","Aleppo",,,"Aleppo",,"Foreign",,,,,,,,,,,,,,,,,
"2023","Missing","Sergei Ivanov",,"Russia",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Nevskoye Vremya",,,,"Russia","Chechnya",,,"Chechnya",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Sergio Landa Rosado",,"Mexico",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Diario Cardel",,,,"Mexico","Veracruz",,,"Veracruz",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Sofiene Chourabi",,"Tunisia",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","First TV",,,,"Libya","Ajdabiya",,,"Ajdabiya",,"Foreign",,,,,,,,,,,,,,,,,
"2023","Missing","Vasyl Klymentyev",,"Ukraine",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Novyi Stil","Editor","Corruption",,"Ukraine","Kharkiv",,,"Kharkiv",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Vitaly Shevchenko",,"Ukraine",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Lita-M",,,,"Russia","Chechnya",,,"Chechnya",,"Foreign",,,,,,,,,,,,,,,,,
"2023","Missing","Vladjimir Legagneur",,"Haiti",,,"Male","https://cpj-photos.s3.amazonaws.com/AFP-Haiti2-2018-07-24-1532449003641.jpg","AFP/Valerie Baeriswyl","Journalist","Missing","N/A","Missing","Freelance","Freelance","Photographer","Culture,Politics","Internet,Print","Haiti","Port-au-Prince",,,"Port-au-Prince",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Waheed Mohammed Naji Haider (Waheed al-Sufi)",,"Yemen",,,"Male","https://cpj-photos.s3.us-west-2.amazonaws.com/prod/wahidal-soufi.jpg_d6f0e043-9c1b-4e67-9008-8ea245477808.jpeg","Fahmi Mohammed Al-Soufi","Journalist","Missing","N/A","Missing","Staff","al-Arabiya","Editor","Human Rights,Politics,War","Print,Internet","Yemen","Sana'a",,,"Sana'a",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Walid al-Qasim",,,,,,,,"Journalist","Missing","N/A","Missing","Staff","Aleppo News Network","Internet Reporter","War","Internet","Syria","Aleppo",,,"Aleppo",,"Local",,,,,,,,,,,,,,,,,
"2023","Missing","Yelena Petrova",,"Ukraine",,,"Female",,,"Journalist","Missing","N/A","Missing","Staff","Lita-M",,,,"Russia","Chechnya",,,"Chechnya",,"Foreign",,,,,,,,,,,,,,,,,
"2023","Missing","Younis al-Mabrok al-Moghazy",,"Libya",,,"Male",,,"Journalist","Missing","N/A","Missing","Staff","Al Barqa TV",,,,"Libya","eastern Libya",,,"eastern Libya",,"Local",,,,,,,,,,,,,,,,,
